symbol,strategy,sl_atr,tp_rr,max_bars,n,win_rate,expectancy_R,profit_factor,avg_R,max_dd_R,total_R,sharpe_R
EURUSD,vwap_bounce,1.5,2.5,32,64.0,0.375,-0.09896958906860308,0.8391104086503304,-0.09896958906860308,14.361085330104428,-6.334053700390597,-0.6264751659476478
EURUSD,vwap_bounce,1.0,2.0,24,64.0,0.34375,-0.11473291992922077,0.8380587590795862,-0.11473291992922077,12.867276520591727,-7.342906875470129,-0.6706257599598371
EURUSD,vwap_bounce,1.2,1.5,16,64.0,0.40625,-0.1331358200883634,0.7934703385882337,-0.1331358200883634,14.377303659307302,-8.520692485655257,-0.9005375727391249
USDJPY,vwap_bounce,1.2,1.5,16,84.0,0.40476190476190477,-0.15734332189596256,0.7626667234487163,-0.15734332189596256,12.716175495804329,-13.216839039260854,-1.2091487162015926
USDJPY,vwap_bounce,1.0,2.0,24,84.0,0.34523809523809523,-0.1723725910106223,0.7682423629298091,-0.1723725910106223,13.892907395668047,-14.479297644892274,-1.1521731607719918
GBPJPY,asian_break,1.2,2.0,20,674.0,0.3264094955489614,-0.2016209425644288,0.7393715354788634,-0.2016209425644288,142.7546806192162,-135.89251528842502,-3.8016847076732274
USDJPY,asian_break,1.0,1.5,16,264.0,0.3787878787878788,-0.20506918201358454,0.7110346672705018,-0.20506918201358454,58.936323521006976,-54.13826405158632,-2.750915886702781
EURUSD,mr_bb_rsi,1.2,1.2,16,7.0,0.42857142857142855,-0.2333927323217909,0.6428841223152807,-0.2333927323217909,3.6562758970550604,-1.6337491262525363,-0.542759276370099
USDJPY,london_drive,1.2,2.2,20,1075.0,0.2930232558139535,-0.23799223192728874,0.7004164306730699,-0.23799223192728874,258.6915376895171,-255.8416493218354,-5.5512397944215355
EURUSD,asian_fade,1.2,1.0,12,617.0,0.4359805510534846,-0.2564076693067915,0.5945360761518036,-0.2564076693067915,160.68079308864165,-158.20353196229036,-6.434777476316846
USDJPY,asian_break,1.2,2.0,20,264.0,0.29545454545454547,-0.273576910011295,0.652901134248055,-0.273576910011295,73.16983893127016,-72.22430424298189,-3.3478602516360434
USDJPY,london_drive,1.0,1.8,16,1075.0,0.3144186046511628,-0.28718058383478057,0.6380455271140432,-0.28718058383478057,309.28429779986004,-308.7191276223891,-7.269194373867488
GBPJPY,asian_break,1.0,1.5,16,674.0,0.36053412462908013,-0.3003041267907469,0.6075512459366714,-0.3003041267907469,205.90104386506115,-202.4049814569634,-6.494293898679447
GBPJPY,london_drive,1.2,2.2,20,1105.0,0.2823529411764706,-0.3065569776021492,0.634632574988361,-0.3065569776021492,343.1755683006343,-338.7454602503749,-7.293651315486887
USDJPY,vwap_bounce,1.5,2.5,32,84.0,0.2976190476190476,-0.3184507782334296,0.5642513515988218,-0.3184507782334296,28.298068754928934,-26.749865371608085,-2.3714543913316914
USDJPY,asian_fade,1.2,1.0,12,183.0,0.3879781420765027,-0.3247227370332578,0.5019340448128504,-0.3247227370332578,60.26201898918062,-59.42426087708618,-4.595463980272745
USDJPY,asian_fade,1.0,1.5,16,183.0,0.32786885245901637,-0.32670189425867247,0.5728835518199551,-0.32670189425867247,61.0917563838503,-59.78644664933706,-3.7654831568623126
EURUSD,london_drive,1.2,2.2,20,1143.0,0.2677165354330709,-0.3365095562007745,0.6085320306182395,-0.3365095562007745,383.4267190337811,-384.6304227374852,-8.144099016424576
EURUSD,asian_break,1.2,2.0,20,919.0,0.27529923830250275,-0.3443134186764552,0.5851565623255215,-0.3443134186764552,315.23446997144197,-316.42403176366236,-7.943965659022484
EURUSD,asian_fade,1.0,1.5,16,617.0,0.32576985413290116,-0.3468943401837846,0.556998226410905,-0.3468943401837846,215.40652124501645,-214.0338078933951,-7.333513745538383
EURUSD,mr_bb_rsi,1.0,1.0,12,7.0,0.42857142857142855,-0.3543569930718161,0.471087738953132,-0.3543569930718161,4.027531076465904,-2.480498951502713,-0.9154889097983179
GBPJPY,mr_bb_rsi,1.2,1.2,16,8.0,0.375,-0.3594518517590075,0.5032424840033075,-0.3594518517590075,3.7464199307012174,-2.87561481407206,-0.9213312856223815
GBPJPY,asian_fade,1.2,1.0,12,416.0,0.3870192307692308,-0.3605397713118303,0.47025479309205975,-0.3605397713118303,151.6608927354858,-149.9845448657214,-7.667519365958994
USDJPY,mr_bb_rsi,1.2,1.2,16,12.0,0.3333333333333333,-0.3802315629134721,0.477798738139127,-0.3802315629134721,4.304481820852086,-4.562778754961665,-1.2505176656641783
EURUSD,asian_fade,0.8,1.2,12,617.0,0.36628849270664504,-0.39491867857899493,0.4814301769874555,-0.39491867857899493,246.50552068641838,-243.66482468323989,-9.206140171829704
GBPJPY,london_drive,1.0,1.8,16,1105.0,0.28868778280542984,-0.4074789598022958,0.526483690496672,-0.4074789598022958,450.6194247638851,-450.2642505815369,-10.691329101396507
EURUSD,asian_break,1.0,1.5,16,919.0,0.3014145810663765,-0.4228342786731354,0.4862373174394776,-0.4228342786731354,387.35722794994695,-388.5847021006114,-11.110826453797765
EURUSD,london_drive,1.0,1.8,16,1143.0,0.28171478565179353,-0.4239336283506419,0.5128919918401625,-0.4239336283506419,483.3116927603387,-484.5561372047837,-11.338453704109877
GBPJPY,asian_fade,1.0,1.5,16,416.0,0.30288461538461536,-0.4275907849903622,0.4756004039859951,-0.4275907849903622,179.19946803332124,-177.87776655599066,-7.667160634811144
GBPJPY,vwap_bounce,1.2,1.5,16,77.0,0.2857142857142857,-0.4347197624385371,0.45222969233018573,-0.4347197624385371,37.34995882219687,-33.47342170776736,-3.4595186573343764
USDJPY,asian_fade,0.8,1.2,12,183.0,0.33879781420765026,-0.43656937790518197,0.44632926440655846,-0.43656937790518197,80.84883332478987,-79.8921961566483,-5.548683647318118
GBPJPY,vwap_bounce,1.5,2.5,32,77.0,0.24675324675324675,-0.43853857880386443,0.4361822539074431,-0.43853857880386443,35.116537858462344,-33.76747056789756,-3.326656496249392
USDJPY,mr_bb_rsi,1.0,1.0,12,12.0,0.3333333333333333,-0.4696112088294908,0.3799919832790584,-0.4696112088294908,4.592781314464529,-5.63533450595389,-1.6468894138981442
GBPJPY,mr_bb_rsi,1.0,1.0,12,8.0,0.375,-0.4713422221108335,0.3649696318607718,-0.4713422221108335,5.169214241325302,-3.770737776886668,-1.3450372083339637
GBPJPY,asian_fade,0.8,1.2,12,416.0,0.33653846153846156,-0.4825968733264989,0.40519256758965594,-0.4825968733264989,201.73742615048698,-200.76029930382356,-9.422705148945004
GBPJPY,vwap_bounce,1.0,2.0,24,77.0,0.23376623376623376,-0.5422931463736507,0.39599107270505796,-0.5422931463736507,43.61392258132913,-41.7565722707711,-4.013545560126877
